global_step,epoch,epochs,step,iters,loss,logits_loss,aux_loss,lr,epoch_eta_min
194,1,2,19400,39695,2.282,2.282,0.0,0.00043689,47.0
195,1,2,19500,39695,2.3866,2.3866,0.0,0.00043627,47.0
196,1,2,19600,39695,2.239,2.239,0.0,0.00043565,47.0
197,1,2,19700,39695,2.1486,2.1486,0.0,0.00043502,46.0
198,1,2,19800,39695,2.2884,2.2884,0.0,0.0004344,46.0
199,1,2,19900,39695,2.1781,2.1781,0.0,0.00043377,46.0
200,1,2,20000,39695,2.1891,2.1891,0.0,0.00043314,46.0
201,1,2,20100,39695,2.069,2.069,0.0,0.0004325,45.0
202,1,2,20200,39695,2.0905,2.0905,0.0,0.00043186,45.0
203,1,2,20300,39695,1.9526,1.9526,0.0,0.00043122,45.0
204,1,2,20400,39695,2.1123,2.1123,0.0,0.00043058,45.0
205,1,2,20500,39695,2.195,2.195,0.0,0.00042994,45.0
206,1,2,20600,39695,2.3139,2.3139,0.0,0.00042929,44.0
207,1,2,20700,39695,2.2284,2.2284,0.0,0.00042864,44.0
208,1,2,20800,39695,2.3499,2.3499,0.0,0.00042799,44.0
209,1,2,20900,39695,2.289,2.289,0.0,0.00042734,44.0
210,1,2,21000,39695,2.2335,2.2335,0.0,0.00042668,43.0
211,1,2,21100,39695,2.1776,2.1776,0.0,0.00042602,43.0
212,1,2,21200,39695,2.1498,2.1498,0.0,0.00042536,43.0
213,1,2,21300,39695,2.1423,2.1423,0.0,0.0004247,43.0
214,1,2,21400,39695,2.2699,2.2699,0.0,0.00042403,42.0
215,1,2,21500,39695,2.3022,2.3022,0.0,0.00042336,42.0
216,1,2,21600,39695,2.337,2.337,0.0,0.00042269,42.0
217,1,2,21700,39695,2.1627,2.1627,0.0,0.00042202,42.0
218,1,2,21800,39695,2.0594,2.0594,0.0,0.00042134,41.0
219,1,2,21900,39695,2.2211,2.2211,0.0,0.00042067,41.0
220,1,2,22000,39695,2.2576,2.2576,0.0,0.00041999,41.0
221,1,2,22100,39695,2.2037,2.2037,0.0,0.0004193,41.0
222,1,2,22200,39695,2.4209,2.4209,0.0,0.00041862,41.0
223,1,2,22300,39695,2.185,2.185,0.0,0.00041793,40.0
224,1,2,22400,39695,2.0416,2.0416,0.0,0.00041725,40.0
225,1,2,22500,39695,2.2393,2.2393,0.0,0.00041655,40.0
226,1,2,22600,39695,2.3579,2.3579,0.0,0.00041586,40.0
227,1,2,22700,39695,2.2172,2.2172,0.0,0.00041517,39.0
228,1,2,22800,39695,2.3135,2.3135,0.0,0.00041447,39.0
229,1,2,22900,39695,2.396,2.396,0.0,0.00041377,39.0
230,1,2,23000,39695,2.2332,2.2332,0.0,0.00041307,39.0
231,1,2,23100,39695,2.2267,2.2267,0.0,0.00041236,38.0
232,1,2,23200,39695,2.2117,2.2117,0.0,0.00041166,38.0
233,1,2,23300,39695,2.2958,2.2958,0.0,0.00041095,38.0
234,1,2,23400,39695,2.1849,2.1849,0.0,0.00041024,38.0
235,1,2,23500,39695,2.0111,2.0111,0.0,0.00040952,38.0
236,1,2,23600,39695,2.2639,2.2639,0.0,0.00040881,37.0
237,1,2,23700,39695,2.2889,2.2889,0.0,0.00040809,37.0
